ad,dogum_yeri,dogum_tarihi,yas,ilkokul,ilkokul_yillari,lise,lise_yillari,universite,universite_yillari,bolum,yuksek_lisans,yuksek_lisans_yillari,doktora,doktora_yillari,calistigi_kurumlar,calisma_yillari,kurdugu_girisim_ve_dernekler,girisim_kurulus_yillari,yasadigi_sehir,hobiler,es,cocuklar,akademik_yayinlar,yayin_yillari,dosya_adi,ilkokul_yillari_baslangic,ilkokul_yillari_bitis,lise_yillari_baslangic,lise_yillari_bitis,universite_yillari_baslangic,universite_yillari_bitis,yuksek_lisans_yillari_baslangic,yuksek_lisans_yillari_bitis,doktora_yillari_baslangic,doktora_yillari_bitis,calisma_yillari_baslangic,calisma_yillari_bitis
Emrah Baran,Kayseri,15.08.1985,40,Mustafa Kemal İlkokulu,1991-1996,Kayseri Anadolu Lisesi,1996-2003,Boğaziçi Üniversitesi,2003-2007,İşletme,Koç Üniversitesi,2009-2011,,None,"['Unilever Türkiye', 'Arçelik A.Ş.', 'Turkcell', 'Sahibinden.com']","['2007-2009', '2012-2016', '2016-2021', '2021-devam ediyor']",[],[],İstanbul,"['şehir dışı keşif gezileri', 'yerel lezzetleri deneyimlemek', 'dijital fotoğrafçılık', 'modern sanat galerilerini ziyaret etmek', 'futbol maçlarına gitmek']",Elif Kaya,"['Can Baran', 'Defne Baran']","['Nesiller Arası Marka Bağlılığının Dijital Kanallar Üzerindeki Etkisi ve Sürdürülebilirliği', 'Dijital Dönüşümde Marka Sadakati: Telekomünikasyon Sektörü Vaka Analizi', 'Z Kuşağı ve Marka Etkileşimi: Algoritma Tabanlı İçerik Pazarlamasının Rolü']","['2011', '2018', '2019']",emrah_baran.md,1991,1996,1996,2003,2003,2007,2009,2011,None,,['2007,"2009', '2012-2016', '2016-2021', '2021-devam ediyor']"
Emre Polat,Ankara,15.08.1987,38,Ankara Kurtuluş İlkokulu,1993-2000,Ankara Atatürk Lisesi,2000-2004,Anadolu Üniversitesi,2005-2009,Halkla İlişkiler ve Reklamcılık,İstanbul Bilgi Üniversitesi,2010-2012,,None,"['Vizyon İletişim', 'Turkcell', 'Edelman Türkiye', 'Pegasus Hava Yolları']","['2009-2010', '2012-2016', '2016-2021', '2021-devam ediyor']",['Dijital Medya Okuryazarlığı Derneği'],['2018'],İstanbul,"['bisiklete binmek', 'siyah beyaz fotoğraf çekmek', 'ney üflemek', 'kültürel mirasları tanımak']",Aslı Günel,"['Deniz', 'Can']",[],[],emre_polat.md,1993,2000,2000,2004,2005,2009,2010,2012,None,,['2009,"2010', '2012-2016', '2016-2021', '2021-devam ediyor']"
Engin Tan,Balıkesir,05.09.1985,40,Balıkesir Sırrı Akın İlkokulu,1991-1996,İstanbul Fen Lisesi,2001-2005,İstanbul Teknik Üniversitesi,2005-2009,Bilgisayar Mühendisliği,Koç Üniversitesi,2010-2012,,None,"['Getir', 'Türk Telekom', 'Microsoft Türkiye', 'Trendyol']","['2012-2015', '2015-2018', '2018-2022', '2022-devam ediyor']",[],[],İstanbul,"['fotoğrafçılık', 'uzun doğa yürüyüşleri', 'amatör olarak bağlama çalmak', 'satranç oynamak']",Ayşe Demet,"['Can', 'Elif']","['Yapay Zeka Destekli Kişiselleştirilmiş Pazarlama Algoritmaları', 'Derin Öğrenme ile Görüntü Tanıma Sistemlerinde Verimlilik Artışı: Bir Vaka Çalışması', 'Büyük Veride Anomali Tespiti için Gelişmiş Makine Öğrenmesi Yöntemleri']","['2012', '2019', '2021']",engin_tan.md,1991,1996,2001,2005,2005,2009,2010,2012,None,,['2012,"2015', '2015-2018', '2018-2022', '2022-devam ediyor']"
Ercan Yılmaz,Adana,05.09.1984,41,İnönü İlkokulu,1990-1998,Adana Fen Lisesi,1998-2002,Orta Doğu Teknik Üniversitesi,2002-2006,Şehir ve Bölge Planlama Bölümü,İstanbul Teknik Üniversitesi,2006-2008,,None,"['Adana Büyükşehir Belediyesi, İmar ve Şehircilik Daire Başkanlığı', 'Emlak Konut GYO A.Ş.', 'Global Architecture & Planning (GAP) Danışmanlık A.Ş.', 'Kentsel Vizyon Planlama ve Tasarım Ofisi']","['2008-2010', '2010-2015', '2015-2019', '2019-devam ediyor']",['Kentsel Vizyon Planlama ve Tasarım Ofisi'],['2019'],İstanbul,"['amatör fotoğrafçılık', 'doğa yürüyüşleri', 'bisiklet sürmek', 'podcast dinlemek']",Aylin Yılmaz,"['Elif Yılmaz', 'Can Yılmaz']","['Akıllı Şehirlerde Yeşil Altyapı Entegrasyonu: İstanbul Örneği', 'Kentsel Dönüşümde Sosyal Katılımın Önemi: Anadolu Örnekleri']","['2008', '2014']",ercan_yilmaz.md,1990,1998,1998,2002,2002,2006,2006,2008,None,,['2008,"2010', '2010-2015', '2015-2019', '2019-devam ediyor']"
Erhan Keskin,Adana,15.07.1988,37,Adana Seyhan İlkokulu,1994-2002,Adana Fen Lisesi,2002-2006,Orta Doğu Teknik Üniversitesi,2006-2010,Mimarlık Bölümü,Yıldız Teknik Üniversitesi,2010-2012,,None,"['Müller & Partner Mimarlık', 'Yapı Kredi Koray GYO', 'Esenler Belediyesi', 'Kentsel Nefes Mimarlık ve Danışmanlık']","['2011-2011', '2012-2015', '2015-2018', '2018-devam ediyor']","['Kentsel Nefes Mimarlık ve Danışmanlık', 'Yeşil Şehirler Derneği']","['2018', '2020']",İstanbul,"['doğa yürüyüşleri', 'kentsel bahçeleri keşfetmek', 'klasik müzik dinlemek', 'fotoğrafçılık', 'yerel el sanatlarını araştırmak']",Selin Tekin,"['Ela', 'Can']","[""Türkiye'de Yeşil Binaların Kentsel Peyzaja Entegrasyonu: Bir Vaka Analizi"", 'Akıllı Şehirlerde Biyofilik Tasarımın Rolü ve İnsan Psikolojisine Etkileri']","['2013', '2017']",erhan_keskin.md,1994,2002,2002,2006,2006,2010,2010,2012,None,,['2011,"2011', '2012-2015', '2015-2018', '2018-devam ediyor']"
Faruk Keskin,Samsun,15.08.1988,37,Samsun Canik İlköğretim Okulu,1994-2002,Samsun Anadolu Lisesi,2002-2006,İstanbul Teknik Üniversitesi (İTÜ),2006-2010,Bilgisayar Mühendisliği,Boğaziçi Üniversitesi,2010-2012,,None,"['Microsoft Türkiye', 'Türk Telekom', 'Getir']","['2012-2015', '2015-2018', '2018-2023']",['VeriVizyon AI'],['2023'],İstanbul,"['amatör fotoğrafçılık', 'maraton koşuları', 'yapay zeka alanındaki en son bilimsel gelişmeleri takip etmek']",Ayşe Keskin,"['Elif', 'Can']","['Derin Öğrenme Modellerinin Finansal Veri Tahminindeki Etkinliği', 'Büyük Veri Analitiği ile Şehir Planlama Optimizasyonu: Ulaşım Ağları Üzerine Bir Çalışma']","['2012', '2016']",faruk_keskin.md,1994,2002,2002,2006,2006,2010,2010,2012,None,,['2012,"2015', '2015-2018', '2018-2023']"
Faruk Korkmaz,Kayseri,15.08.1987,38,Kayseri Melikgazi Mehmet Akif Ersoy İlkokulu,1993-2000,Kayseri Fen Lisesi,2000-2004,Yıldız Teknik Üniversitesi,2004-2008,Şehir ve Bölge Planlama,Boğaziçi Üniversitesi,2008-2010,,None,"['İstanbul Büyükşehir Belediyesi (İBB) Kentsel Planlama Müdürlüğü', 'Kent Vizyon Planlama ve Danışmanlık A.Ş.', 'EKO Kent Tasarım Atölyesi']","['2010-2015', '2015-2019', '2019-devam ediyor']",['EKO Kent Tasarım Atölyesi'],['2019'],İstanbul,"['şehir fotoğrafçılığı', 'bisiklet turları', 'kitap okuma', 'dijital haritalama ve CBS teknolojilerini takip etmek']",Elif Korkmaz,"['Defne', 'Can']","['Megakentlerde Mikro Ölçekli Yeşil Alan Planlamasının Önemi: İstanbul Örneği', 'Akıllı Şehir Teknolojilerinin Kentsel Dirençliliğe Katkıları Üzerine Bir Değerlendirme']","['2010', '2022']",faruk_korkmaz.md,1993,2000,2000,2004,2004,2008,2008,2010,None,,['2010,"2015', '2015-2019', '2019-devam ediyor']"
Fatma Özkan,Adana,15.03.1989,36,Özel Çağ Koleji,1995-2000,Adana Anadolu Lisesi,2000-2007,Orta Doğu Teknik Üniversitesi,2007-2011,Şehir ve Bölge Planlama,Mimar Sinan Güzel Sanatlar Üniversitesi,2011-2013,,None,"['Çevre ve Şehircilik Bakanlığı, Kentsel Dönüşüm Genel Müdürlüğü', 'Yerel Yönetimler Araştırma ve Geliştirme Vakfı (YEREL-AG)', 'Şehirler İçin Gelecek']","['2013-2016', '2016-2019', '2019-devam ediyor']",['Şehirler İçin Gelecek'],['2019'],İstanbul,"['kent fotoğrafçılığı', 'bağcılık', 'kentleşme, teknoloji ve sürdürülebilirlik üzerine podcast dinlemek']",Emre Doğan,"['Ada', 'Can']","['Akıllı Şehirlerde Veri Analizinin Kentsel Dönüşümdeki Rolü', ""Türkiye'de Yeşil Altyapı Uygulamalarının Sürdürülebilir Şehircilik Üzerindeki Etkileri""]","['2014', '2017']",fatma_ozkan.md,1995,2000,2000,2007,2007,2011,2011,2013,None,,['2013,"2016', '2016-2019', '2019-devam ediyor']"
Ferhat Kurt,Adana,15.08.1985,40,Atatürk İlkokulu,1991-1996,Adana Fen Lisesi,1999-2003,Orta Doğu Teknik Üniversitesi (ODTÜ),2003-2007,İşletme,Koç Üniversitesi,2015-2017,,None,"['Yatırım Finans', 'Akbank', 'Türkiye İş Bankası', 'Capital Türkiye']","['2007-2009', '2009-2013', '2013-2018', '2018-devam ediyor']",['Girişimci Destek Platformu'],['2019'],İstanbul,"['maratonlar', 'amatör fotoğrafçılık', 'e-spor müsabakalarını takip etmek', 'yeni teknolojik gelişmeleri araştırmak']",Zeynep Kurt,"['Elif Kurt', 'Can Kurt']","[""Türkiye'de Fintech Girişimlerinin Yükselişi ve Potansiyeli"", 'Yapay Zeka ve Makine Öğrenmesinin Finans Sektörüne Etkileri']","['2019', '2021']",ferhat_kurt.md,1991,1996,1999,2003,2003,2007,2015,2017,None,,['2007,"2009', '2009-2013', '2013-2018', '2018-devam ediyor']"
Fidan Doğan,Antalya,05.09.1988,37,Gazi İlkokulu,1994-2000,Akdeniz Anadolu Lisesi,2000-2004,İzmir Ekonomi Üniversitesi,2004-2008,Endüstriyel Tasarım,Orta Doğu Teknik Üniversitesi (ODTÜ),2008-2010,,None,"['Vestel', 'Arçelik', 'BOSCH Ev Aletleri', 'P&G Türkiye']","['2010-2012', '2012-2016', '2016-2021', '2021-devam ediyor']",[],[],İstanbul,"['seramik sanatı', 'yoga', 'doğa yürüyüşleri', 'eski plak koleksiyonculuğu']",Caner Öztürk,"['Defne Doğan Öztürk', 'Demir Doğan Öztürk']","['Geleceğin Akıllı Ev Aletleri Tasarımında Kullanıcı Deneyimi ve İnovasyon Stratejileri', 'Sürdürülebilir Tasarımda Döngüsel Ekonomi Yaklaşımları: Endüstriyel Tasarımın Rolü']","['2010', '2018']",fidan_dogan.md,1994,2000,2000,2004,2004,2008,2008,2010,None,,['2010,"2012', '2012-2016', '2016-2021', '2021-devam ediyor']"
Fikri Bulut,Ankara,15.08.1988,36,Ankara Kocatepe İlkokulu,1994-2000,Ankara Fen Lisesi,2002-2006,Orta Doğu Teknik Üniversitesi,2006-2010,Şehir ve Bölge Planlama,İstanbul Teknik Üniversitesi,2011-2013,,None,"['İzmir Büyükşehir Belediyesi İmar ve Şehircilik Daire Başkanlığı', 'Arvento Mobil Sistemler', 'Microsoft Türkiye']","['2010-2011', '2013-2016', '2016-devam ediyor']",[],[],İstanbul,"['Tarihi haritalar koleksiyonu yapmak', 'şehir tarihi araştırmaları yapmak', 'bisiklet turları düzenlemek', 'amatör drone çekimleriyle kentsel manzaraları belgelemek', 'bilim kurgu ve futurizm üzerine kitaplar okumak']",Elif Bulut,['Cem'],"['Büyük Veri ile Kentsel Dönüşüm Alanlarının Analizi: İzmir Örneği', 'Akıllı Şehirlerde Mekansal Veri Yönetimi ve Gizlilik Yaklaşımları']","['2014', '2017']",fikri_bulut.md,1994,2000,2002,2006,2006,2010,2011,2013,None,,['2010,"2011', '2013-2016', '2016-devam ediyor']"
Fikri Polat,Diyarbakır,05.07.1989,36,Diyarbakır Ziya Gökalp İlkokulu,1996-2000,Ankara Fen Lisesi,2002-2006,Ege Üniversitesi,2006-2010,İstatistik Bölümü,İstanbul Teknik Üniversitesi (İTÜ),2010-2012,,None,"['Arçelik', 'Türk Telekom', 'Hürriyet Dijital']","['2013-2016', '2015-2018', '2019-2022']",['Veri Vizyon'],['2022'],İstanbul,"['analog fotoğrafçılık', 'eski radyo koleksiyonculuğu', 'Türk ve dünya klasikleri okumak', 'doğa yürüyüşleri']",Elif Polat,"['Ada Polat', 'Demir Polat']","['Türk Telekom Müşteri Davranışları Analizi ve Segmentasyon Modelleri', 'Büyük Veri ile Anomali Tespiti ve Uygulamaları']","['2017', '2020']",fikri_polat.md,1996,2000,2002,2006,2006,2010,2010,2012,None,,['2013,"2016', '2015-2018', '2019-2022']"
Fuat Bulut,Ankara,07.09.1986,39,Ankara Dr. Reşit Galip İlkokulu,1992-1999,Ankara Atatürk Lisesi,1999-2003,Orta Doğu Teknik Üniversitesi (ODTÜ),2004-2008,Bilgisayar Mühendisliği,Boğaziçi Üniversitesi,2008-2010,,None,"['Yemeksepeti', 'Garanti Teknoloji', 'PepsiCo Türkiye', 'Getir']","['2010-2013', '2013-2018', '2018-2022', '2022-devam ediyor']",[],[],İstanbul,"['koşu', 'amatör fotoğrafçılık', 'klasik müzik dinleme', 'satranç']",Ayşe Yılmaz Bulut,"['Lara Bulut', 'Demir Bulut']","['Graph-based Recommendation Systems in E-commerce: A Hybrid Approach', 'Predictive Maintenance for Logistics Networks Using Machine Learning Techniques']","['2011', '2019']",fuat_bulut.md,1992,1999,1999,2003,2004,2008,2008,2010,None,,['2010,"2013', '2013-2018', '2018-2022', '2022-devam ediyor']"
Gökhan Arslan,İstanbul,15.06.1987,38,Kadıköy İlkokulu,1993-2001,İstanbul Fen Lisesi,2001-2005,İstanbul Teknik Üniversitesi,2005-2009,Bilgisayar Mühendisliği,Boğaziçi Üniversitesi,2010-2012,,None,"['Huawei Türkiye', 'Türk Telekom', 'Migros', 'EduMind AI']","['2012-2015', '2015-2018', '2018-2020', '2020-devam ediyor']","['EduMind AI', 'Yapay Zeka Gönüllüleri Derneği']","['2020', '2021']",İstanbul,"['dijital fotoğrafçılık', 'eski plak koleksiyonu yapmak', 'doğada trekking yapmak']",Elif Arslan,"['Defne Arslan', 'Can Arslan']","['Eğitim Teknolojilerinde Derin Öğrenme Modellerinin Uygulamaları Üzerine Bir Araştırma', 'Büyük Veri Analizi ile Telekomünikasyon Müşteri Davranışlarının Tahmini']","['2012', '2017']",gokhan_arslan.md,1993,2001,2001,2005,2005,2009,2010,2012,None,,['2012,"2015', '2015-2018', '2018-2020', '2020-devam ediyor']"
Gökhan Çakır,Mersin,15.09.1989,36,Yusuf Kalkavan İlkokulu,1995-2000,Ankara Fen Lisesi,2003-2007,Hacettepe Üniversitesi,2007-2011,İktisat Bölümü,Boğaziçi Üniversitesi,2012-2014,,None,"['Denizbank', 'Garanti BBVA', 'Papara']","['2014-2017', '2017-2020', '2020-2023']",['Veri Fütüristleri Danışmanlık'],['2023'],İstanbul,"['doğa fotoğrafçılığı', 'yürüyüş', 'caz müziği dinlemek']",Ayşe Çakır,"['Deniz', 'Emir']","['Makine Öğrenimi ile Kredi Riski Tahmini: Türk Bankacılık Sektörü Üzerine Bir Uygulama', 'Büyük Veri Analitiğiyle Finansal Dolandırıcılık Tespitinde Yeni Yaklaşımlar: Vaka Çalışması']","['2014', '2018']",gokhan_cakir.md,1995,2000,2003,2007,2007,2011,2012,2014,None,,['2014,"2017', '2017-2020', '2020-2023']"
Gökhan Özsoy,Malatya,05.09.1988,37,Malatya Hacı Mustafa Necati İlkokulu,1994-2001,Malatya Fen Lisesi,2001-2005,İstanbul Teknik Üniversitesi,2005-2009,Bilgisayar Mühendisliği,Boğaziçi Üniversitesi,2010-2012,,None,"['Nokia Türkiye', 'Trend Micro', 'Türk Telekom', 'Getir', 'Peak Games']","['2009-2012', '2012-2015', '2015-2018', '2018-2022', '2022-devam ediyor']",[],[],İstanbul,"['Dağcılık', 'drone fotoğrafçılığı', 'analog fotoğrafçılık']",Elif Özsoy,"['Defne Özsoy', 'Kerem Özsoy']","['Dağıtık Sistemlerde Gerçek Zamanlı Veri İşleme Optimizasyonları', 'Mobil Uygulama Güvenliğinde Yeni Nesil Tehdit Analizleri', 'Büyük Veri Mimarilerinde Ölçeklenebilirlik Çözümleri']","['2012', '2017', '2020']",gokhan_ozsoy.md,1994,2001,2001,2005,2005,2009,2010,2012,None,,['2009,"2012', '2012-2015', '2015-2018', '2018-2022', '2022-devam ediyor']"
Gökhan Tan,Ankara,15.06.1986,39,Dr. Reşit Galip İlkokulu,1993-2001,Ankara Fen Lisesi,2002-2006,Orta Doğu Teknik Üniversitesi (ODTÜ),2004-2008,Gıda Mühendisliği,Wageningen University & Research,2009-2011,,None,"['Nestlé Türkiye', 'Unilever Türkiye', 'Lezzet Rotası']","['2011-2014', '2014-2017', '2017-devam ediyor']",['Lezzet Rotası'],['2017'],İstanbul,"['Gastronomi trendlerini takip etmek', 'Dünya mutfaklarını keşfetmek', 'Evde şarap ve fermente ürünler yapmak', 'Doğa yürüyüşleri', 'Fotoğrafçılık']",Elif Tan,"['Defne Tan', 'Can Tan']","['Gıda Güvenliği Yönetim Sistemlerinde Blok Zinciri Teknolojisinin Potansiyeli', 'Sürdürülebilir Balıkçılık Pratiklerinin Gıda Tedarik Zincirine Entegrasyonu']","['2013', '2016']",gokhan_tan.md,1993,2001,2002,2006,2004,2008,2009,2011,None,,['2011,"2014', '2014-2017', '2017-devam ediyor']"
Gökhan Toprak,Adana,15.08.1986,39,Adana Mimar Sinan İlköğretim Okulu,1993-2001,Adana Fen Lisesi,2001-2005,Boğaziçi Üniversitesi,2003-2007,İşletme Bölümü,Koç Üniversitesi,2008-2010,,None,"['DDB İstanbul', 'Vestel', 'Türk Telekom', 'Trendyol']","['2007-2009', '2011-2015', '2015-2018', '2018-devam ediyor']",[],[],İstanbul,"['Sokak ve belgesel fotoğrafçılığı', 'Doğa yürüyüşleri', 'Amatör drone pilotluğu', 'Klasik Türk Sanat Müziği dinletileri']",Ayşe Demir,"['Ela Toprak', 'Can Toprak']","['Dijital Dönüşüm Sürecinde Marka Sadakati Oluşturma Stratejileri', 'E-ticarette Kitle Pazarlamasından Kişiselleştirilmiş Deneyime Geçiş']","['2019', '2021']",gokhan_toprak.md,1993,2001,2001,2005,2003,2007,2008,2010,None,,['2007,"2009', '2011-2015', '2015-2018', '2018-devam ediyor']"
Gülay Aktaş,Adana,15.08.1983,42,Adana Karşıyaka İlkokulu,1989-1997,Adana Necip Fazıl Kısakürek Lisesi,1997-2001,Ankara Üniversitesi,2001-2005,Gazetecilik,,None,,None,"['Doğan Haber Ajansı', 'NTV']","['2005-2010', '2010-2018']",['Bağımsız Gazeteciler Platformu'],['2020'],Ankara,"['belgesel izlemek', 'doğa yürüyüşleri yapmak', 'amatör fotoğrafçılık', 'eski kitaplar toplamak']",Can Yılmaz,"['Eylül Yılmaz', 'Kerem Yılmaz']","[""Anadolu'nun Kayıp Sesleri: Göçün Kültürel Etkileri Üzerine Bir İnceleme"", 'Dijital Çağda Gazeteciliğin Etik Sınırları']","['2016', '2019']",gulay_aktas.md,1989,1997,1997,2001,2001,2005,None,,None,,['2005,"2010', '2010-2018']"
Gülay Sezer,İzmir,15.03.1986,39,Mithatpaşa İlkokulu,1993-2000,İzmir Atatürk Lisesi,2000-2004,Boğaziçi Üniversitesi,2008-2012,Bilgisayar Mühendisliği,Koç Üniversitesi,2012-2014,,None,"['Hepsiburada', 'Turkcell', 'Microsoft Türkiye']","['2014-2016', '2016-2019', '2019-devam ediyor']",[],[],İstanbul,"['Klasik müzik konserlerini takip etmek', 'Amatör fotoğrafçılık', 'Doğa yürüyüşleri', 'Kitap okuma']",Can Sezer,"['Ege Sezer', 'Defne Sezer']","['Ethical Frameworks for AI in Financial Services: A Turkish Perspective', 'Bias Detection and Mitigation in Large Language Models for Turkish Text', 'Responsible AI Adoption in Emerging Markets']","['2019', '2022', '2023']",gulay_sezer.md,1993,2000,2000,2004,2008,2012,2012,2014,None,,['2014,"2016', '2016-2019', '2019-devam ediyor']"
Gülay Uzun,İzmir,15.03.1986,39,İzmir Şirinyer İlkokulu,1992-2000,İstanbul Fen Lisesi,2001-2005,İstanbul Teknik Üniversitesi,2005-2009,Şehir ve Bölge Planlama,Delft University of Technology (TU Delft),2010-2012,,None,"['Proje Mimarlık ve Şehir Planlama Bürosu', 'Uzanlar Mimarlık ve Kentsel Tasarım', 'İstanbul Büyükşehir Belediyesi', 'UrbanCanvas']","['2009-2010', '2012-2015', '2015-2019', '2019-devam ediyor']","['UrbanCanvas', 'Yaşanabilir Şehirler Girişimi']","['2019', '2019']",İstanbul,"['kentsel fotoğrafçılık', ""İstanbul'un eski semtlerini keşfetmek"", 'doğa yürüyüşleri', 'yerel topluluk bahçelerinde gönüllü çalışma', 'eski haritalar toplamak']",Deniz Demir,"['Elif', 'Can']","['Akıllı Şehir Modellerinde Vatandaş Katılımının Rolü: İstanbul Örneği', ""Yeşil Altyapı Entegrasyonu ve Kentsel Isı Adaları Etkisi: Türkiye'den Uygulama Örnekleri"", 'Büyük Veri ile Kentsel Hareketlilik Analizi: Geleceğin Şehirleri İçin Çözümler ve Etik Yaklaşımlar']","['2018', '2021', '2023']",gulay_uzun.md,1992,2000,2001,2005,2005,2009,2010,2012,None,,['2009,"2010', '2012-2015', '2015-2019', '2019-devam ediyor']"
Gülben Kara,Çanakkale,15.06.1988,37,Mehmet Akif Ersoy İlköğretim Okulu,1994-2002,Çanakkale Anadolu Lisesi,2002-2006,Boğaziçi Üniversitesi,2006-2010,"Radyo, Televizyon ve Sinema Bölümü",İstanbul Bilgi Üniversitesi,2010-2012,,None,"['Koç Holding', 'Yedi Renk Prodüksiyon']","['2013-2017', '2017-devam ediyor']",['Yedi Renk Prodüksiyon'],['2017'],İstanbul,"['Doğa yürüyüşleri', 'eski Türk filmlerini izlemek', 'analog fotoğrafçılık', 'pinhole fotoğrafçılığı', 'yerel el sanatları koleksiyonu yapmak']",Arda Demir,"['Ela Demir', 'Can Demir']","['Dijital Çağda Belgesel Sinemanın Dönüşümü ve Etkileşimli Anlatılar', 'Kültürel Mirasın Belgesel Sinemayla Belgelenmesi: Çanakkale Örneği']","['2012', '2019']",gulben_kara.md,1994,2002,2002,2006,2006,2010,2010,2012,None,,['2013,"2017', '2017-devam ediyor']"
Gülçin Polat,İzmir,15.07.1989,36,Gazi İlkokulu,1995-2000,İzmir Fen Lisesi,2003-2007,Mimar Sinan Güzel Sanatlar Üniversitesi,2007-2011,Grafik Tasarım,İstanbul Bilgi Üniversitesi,2012-2014,,None,"['McCann İstanbul', 'Arçelik Ar-Ge Merkezi', 'Peak Games', 'Nexus Anima Stüdyoları']","['2011-2013', '2013-2017', '2017-2020', '2020-devam ediyor']",['Nexus Anima Stüdyoları'],['2020'],İstanbul,"['Dijital resim ve illüstrasyon yapmak', 'şehir manzaraları fotoğrafçılığı', 'doğa yürüyüşleri', 'bağımsız filmler ve klasik Türk filmleri izlemek', 'karmaşık masa oyunları oynamak']",Arda Demir,"['Elif Demir', 'Can Demir']",['Dijital Çağda Görsel Hikaye Anlatımının Dönüşümü ve Animasyonun Rolü'],['2015'],gulcin_polat.md,1995,2000,2003,2007,2007,2011,2012,2014,None,,['2011,"2013', '2013-2017', '2017-2020', '2020-devam ediyor']"
Gülnur Toprak,Kayseri,15.06.1988,37,İsmet Paşa İlköğretim Okulu,1994-2002,Ankara Fen Lisesi,2002-2006,Orta Doğu Teknik Üniversitesi,2006-2010,Bilgisayar Mühendisliği,Koç Üniversitesi,2010-2012,,None,"['ASELSAN', 'Trendyol', 'Microsoft Türkiye']","['2010-2014', '2014-2019', '2019-devam ediyor']",[],[],İstanbul,"['robotik prototip geliştirme', 'doğa yürüyüşleri', 'bilim kurgu romanları okumak', 'klasik gitar çalmak', 'bestecilik']",Emre Toprak,['Lara'],"['Derin Öğrenme Modelleri ile Finansal Dolandırıcılık Tespiti', 'Büyük Veri Analitiğinde Gerçek Zamanlı Anomali Tespiti']","['2012', '2016']",gulnur_toprak.md,1994,2002,2002,2006,2006,2010,2010,2012,None,,['2010,"2014', '2014-2019', '2019-devam ediyor']"
Gülnur Yıldız,Eskişehir,15.06.1982,43,Özel Çağdaş İlkokulu,1988-1993,Sabiha Gökçen Anadolu Lisesi,1993-2000,Hacettepe Üniversitesi,2000-2004,Sanat Tarihi,Hacettepe Üniversitesi,2004-2006,Ege Üniversitesi,2008-2013,"['Kültür ve Turizm Bakanlığı Eskişehir Kültür Varlıkları Koruma Bölge Kurulu Müdürlüğü', 'Anadolu Medeniyetleri Müzesi, Ankara', 'İzmir Arkeoloji Müzesi', 'Serbest danışman ve kültürel miras projeleri yöneticisi']","['2006-2008', '2008-2013', '2013-2018', '2018-devam ediyor']",['Ege Kültür Mirası Koruma Derneği'],['2019'],İzmir,"['Antika objeler toplamak', 'Ebru sanatı', 'Çini sanatı', 'Klasik müzik dinlemek', 'Tarihi romanlar okumak', 'Doğa yürüyüşleri yapmak']",Demir Karaca,"['Defne Karaca', 'Can Karaca']","['Eskişehir Bölgesi Frig Dönemi Nekropol Yapılarının İncelenmesi', 'İzmir ve Çevresindeki Roma Hamam Yapıları: Fonksiyon ve Sosyal Hayat Üzerine Bir Değerlendirme']","['2017', '2020']",gulnur_yildiz.md,1988,1993,1993,2000,2000,2004,2004,2006,2008,2013,['2006,"2008', '2008-2013', '2013-2018', '2018-devam ediyor']"
Gül Baran,Adana,05.09.1983,42,Adana Seyhan İlköğretim Okulu,1990-1996,Adana Anadolu Lisesi,1996-2000,Boğaziçi Üniversitesi,2003-2007,Sosyoloji Bölümü,Mimar Sinan Güzel Sanatlar Üniversitesi,2008-2010,,None,"['Habitat Derneği', 'T.C. Çevre ve Şehircilik Bakanlığı', 'Bağımsız Kent Sosyolojisi Danışmanı', 'Marmara Üniversitesi']","['2010-2014', '2014-2018', '2018-2020', '2020-devam ediyor']",['Kentte Yaşam Derneği'],['2019'],İstanbul,"['sokak fotoğrafçılığı', 'mimari fotoğrafçılık', 'doğa yürüyüşleri', 'bağımsız belgeseller izlemek', 'yeni parkları ve yeşil alanları keşfetmek']",Caner Aydın,"['Defne', 'Ege']","['Sivil Toplum Kuruluşlarının Kentsel Politikadaki Rolü: Türkiye Örneği Üzerine Bir İnceleme', 'Kentleşme ve Göçün Sosyolojisi: Türkiye Perspektifi', 'Kentsel Dönüşümde Katılımcılık Mekanizmaları ve Yerel Direnişler']","['2017', '2021', '2023']",gul_baran.md,1990,1996,1996,2000,2003,2007,2008,2010,None,,['2010,"2014', '2014-2018', '2018-2020', '2020-devam ediyor']"
Gül Yıldırım,Samsun,15.06.1988,37,Atakum İlkokulu,1994-2000,Samsun Anadolu Lisesi,2000-2004,Hacettepe Üniversitesi,2004-2008,Gazetecilik,İstanbul Bilgi Üniversitesi,2010-2012,,None,"['Hürriyet Gazetesi Ankara bürosu', 'NTV', 'Marka İletişim Çözümleri', 'Anadolu Enerji Holding']","['2007', '2008-2010', '2012-2015', '2015-devam ediyor']",['Genç İletişimciler Buluşuyor'],['2016'],İstanbul,"['pilates', 'suluboya resim', 'belgesel ve seyahat kitapları okumak', 'doğa yürüyüşleri', 'kuş gözlemciliği']",Can Demir,"['Zeynep', 'Kerem']","['Dijital Medyada Kurumsal İtibar Yönetimi ve Kriz İletişimi Stratejileri', 'Enerji Sektöründe Sürdürülebilirlik İletişiminin Önemi ve Örnek Uygulamaları']","['2012', '2019']",gul_yildirim.md,1994,2000,2000,2004,2004,2008,2010,2012,None,,"['2007', '2008","2010', '2012-2015', '2015-devam ediyor']"
